Version = samplesort
CILKPUB_DATA_POINT, 23.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 149.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 14.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 150.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 19.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 20.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 24.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 148.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 15.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 17.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 21.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 133.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 17.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 21.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 130.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 14.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 17.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 127.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 14.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 18.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 21.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 128.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 17.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 129.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 15.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 19.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 112.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 14.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 18.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 112.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 15.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 19.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 112.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 15.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 18.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 113.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 16.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 18.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 116.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 15.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 17.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 102.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 12.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 13.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 17.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 100.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 12.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 14.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 18.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 100.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 12.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 14.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 18.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 103.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 13.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 15.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 16.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 100.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 16.000000, 8, stability_check_uniform, [sort], []
